name,address,rating,user_ratings_total,photo_count,google_place_url,estimated_traffic,source_url
"Zavala Law, PC - Ventura Accident & Injury Lawyer","674 County Square Dr # 207-A, Ventura, CA 93003, USA",5,66,5,https://maps.google.com/?cid=13735594318425777082,,maps.google.com
"Quirk Law Firm, LLP","877 S Victoria Ave UNIT 111, Ventura, CA 93003, USA",4.8,162,10,https://maps.google.com/?cid=7877471653519740490,,maps.google.com
Murphy & Murphy Law Offices,"4482 Market St #407, Ventura, CA 93003, USA",4.9,34,8,https://maps.google.com/?cid=914617516447608546,,maps.google.com
Law Office of Ball & Yorke,"1001 Partridge Dr #330, Ventura, CA 93003, USA",4.8,156,10,https://maps.google.com/?cid=10192368323374946863,,maps.google.com
Cohen Injury Law Group - Ventura Car Accident & Personal Injury Lawyer,"394 E Main St Suite 302, Ventura, CA 93001, USA",5,20,2,https://maps.google.com/?cid=14920584542504516517,,maps.google.com
Crane Flores Injury & Car Accident Lawyers,"701 E Santa Clara St #21, Ventura, CA 93001, USA",5,25,8,https://maps.google.com/?cid=17998448367660854398,,maps.google.com
Emerson Law,"770 County Square Dr #101, Ventura, CA 93003, USA",5,65,9,https://maps.google.com/?cid=17247687615777043139,,maps.google.com
Braff Law Car Accident Personal Injury Lawyers,"2112 E Thompson Blvd Suite C, Ventura, CA 93001, USA",5,10,4,https://maps.google.com/?cid=8814564230219067087,,maps.google.com
"Ryan Dolinar Law - Car Accident & Personal Injury Attorney in Ventura, CA","260 Maple Ct #113, Ventura, CA 93003, USA",5,16,7,https://maps.google.com/?cid=3037366596742706136,,maps.google.com
Richard | Bartlett Lawyers,"2788 E Main St, Ventura, CA 93003, USA",5,50,10,https://maps.google.com/?cid=14191508679533847471,,maps.google.com
Rahnama Law - Abogados,"705 N Oxnard Blvd, Oxnard, CA 93030, USA",4.9,254,10,https://maps.google.com/?cid=7886649279885943308,,maps.google.com
Wells Law,"5450 Telegraph Rd #106, Ventura, CA 93003, USA",5,27,1,https://maps.google.com/?cid=5136947584681361467,,maps.google.com
The Law Offices of J. Jeffrey Herman,"500 E Esplanade Dr #1520, Oxnard, CA 93036, USA",4.9,26,10,https://maps.google.com/?cid=8047376825568094904,,maps.google.com
Karns & Karns Personal Injury and Accident Attorneys,"300 E Esplanade Dr 9th Fl, Oxnard, CA 93036, USA",4.9,84,10,https://maps.google.com/?cid=8578263196042218406,,maps.google.com
"Schurmer Reese Davies, Attorneys at Law","300 E Esplanade Dr #1180, Oxnard, CA 93036, USA",4.7,104,10,https://maps.google.com/?cid=9389337921735833106,,maps.google.com
"Myers Widders Gibson Jones & Feingold, LLP","39 N California St, Ventura, CA 93001, USA",4.9,78,10,https://maps.google.com/?cid=7781519146291827122,,maps.google.com
Crane Flores Injury & Car Accident Lawyers,"300 E Esplanade Dr #906, Oxnard, CA 93036, USA",5,63,10,https://maps.google.com/?cid=15926713097135056206,,maps.google.com
Eisenberg Law Group PC,"1300 Eastman Ave UNIT 301, Ventura, CA 93003, USA",5,18,10,https://maps.google.com/?cid=17606648054609702537,,maps.google.com
"Harris Personal Injury Lawyers, Inc.","93 S Chestnut St Suite 205, Ventura, CA 93001, USA",5,9,5,https://maps.google.com/?cid=15157368232612235779,,maps.google.com
Law Offices of Monty S Gill,"674 County Square Dr #209D, Ventura, CA 93003, USA",5,60,1,https://maps.google.com/?cid=6640379595593147606,,maps.google.com
