url,domain,title,traffic_estimate,emails,phones,social_facebook,social_linkedin,social_instagram,social_twitter,competitor_score,tier
https://wilshirelawfirm.com/locations/ventura-ca/,wilshirelawfirm.com,Ventura Personal Injury Lawyers | Wilshire Law Firm,N/A,flags@2x.webp; globe@2x.webp,,,,,,50,Tier 2
https://www.srllplaw.com/practice-areas/personal-injury/,srllplaw.com,Personal Injury Attorney Ventura - Ventura Business Litigation Lawyer,N/A,,,,,,,40,Tier 2
https://www.personalinjuryventura.com/,personalinjuryventura.com,Just a moment...,N/A,,,,,,,40,Tier 2
https://www.richardinjurylaw.com/,richardinjurylaw.com,Ventura Personal Injury Lawyer | Richard | Bartlett Lawyers,N/A,,,,,,,40,Tier 2
https://mwgjlaw.com/ventura-personal-injury/,mwgjlaw.com,Ventura Personal Injury Lawyer | Myers Widders Law Firm,N/A,EFeingold@mwgjlaw.com; Info@MWGJLaw.com; JFriedman@mwgjlaw.com; KGibson@mwgjlaw.com; SValley@mwgjlaw.com; accounting@MWGJLaw.com; info@MWGJLaw.com,,,,,,50,Tier 2
https://www.opolaw.com/ventura/,opolaw.com,Personal Injury Accident Attorney Ventura - OPO Law,N/A,,,,,,,40,Tier 2
https://flahavanlawoffice.com/car-accidents-and-personal-injury-lawyer-ventura-county/,flahavanlawoffice.com,"Car Accident & Personal Injury Attorney in Ventura County, CA",N/A,,,,,,,40,Tier 2
https://www.heidarilawgroup.com/locations/ventura-attorneys/,heidarilawgroup.com,Ventura Attorneys - Heidari Law Group,N/A,info@HeidariLawGroup.com; info@heidarilawgroup.com,,,,,,50,Tier 2
https://www.yellowpages.com/ventura-ca/mip/ventura-injury-lawyers-2960743,yellowpages.com,Attention Required! | Cloudflare,N/A,,,,,,,40,Tier 2
https://www.lawyerland.com/lawyers/local/ventura/ca/,lawyerland.com,,N/A,,,,,,,40,Tier 2
https://www.attorney4injury.com/directory/ca_ventura_personal_injury_attorneys.shtml,attorney4injury.com,"Personal Injury Attorneys in Ventura, CA: personal injury attorneys",N/A,,,,,,,40,Tier 2
https://www.inforsearchonline.com/detail/8362124/injury-attorney-ventura-ca-2.html,inforsearchonline.com,Injury Attorney Ventura CA - Inforsearchonline,N/A,,,,,,,40,Tier 2
https://www.ruizlawoffice.com/personal-injury/,ruizlawoffice.com,Just a moment...,N/A,,,,,,,40,Tier 2
